Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
101:35:00	2.780918121	3.399555922	0.669740379	4.160103321	21.62931252	23.24644852	21.22768593	22.9338932	20.57596207
101:40:00	2.780918121	3.399555922	0.680236578	4.159716606	21.54997444	23.28465843	21.15574265	22.96452522	20.5257473
101:45:00	2.780918121	3.399555922	0.694709003	4.159516335	22.08727455	23.39241219	22.62418175	23.08174515	20.96694756
101:50:00	2.780918121	3.399555922	0.735599995	4.153215408	21.53780556	22.78922462	22.08677864	22.61177063	20.44124222
101:55:00	2.780918121	3.399555922	0.71738416	4.145932674	22.67581749	23.79703712	23.22200012	23.70533562	21.57017517
102:00:00	2.780918121	3.399555922	0.719545007	4.139487743	22.5658493	23.64321327	23.14071274	23.55461502	21.47312927
102:05:00	2.780918121	3.399555922	0.728985608	4.131299973	22.22899437	23.33185768	22.81377602	23.2246151	21.16972542
102:10:00	2.780918121	3.399555922	0.750316978	4.126362801	21.78822708	22.81239128	22.35098457	22.6875782	20.69598579
102:15:00	2.780918121	3.399555922	0.774484515	4.119178295	21.83249283	22.86016846	22.38370705	22.75362968	20.74469757
102:20:00	2.780918121	3.399555922	0.797484398	4.11208868	22.113554	23.30523682	22.69487	23.20628738	21.06705475
102:25:00	2.78091836	3.399555922	0.782880425	4.105549812	21.48992729	22.69048119	22.08391571	22.58745384	20.49638748
102:30:00	2.78091836	3.399555922	0.785555601	4.096806526	23.01930809	24.21795654	23.58690453	24.1159687	21.97959709
102:35:00	2.78091836	3.399555922	0.81809938	4.092113972	23.52210617	24.82853699	24.09876251	24.73009872	22.49799538
102:40:00	2.78091836	3.399555922	0.837527394	4.084510803	22.41775894	23.67385674	22.99352837	23.55616188	21.37639046
102:45:00	2.78091836	3.399555922	0.848909378	4.077962399	22.06693077	23.39833641	22.65140533	23.25102425	21.03478622
102:50:00	2.78091836	3.399555922	0.84777838	4.071480274	21.73754883	23.12577057	22.33610153	22.97431946	20.69957352
102:55:00	2.78091836	3.399555922	0.851867974	4.063188553	22.48590088	23.7363205	23.0495739	23.59059525	21.40908051
103:00:00	2.78091836	3.399555922	0.863721013	4.056470871	23.07566261	24.43776703	23.70493317	24.29976273	22.10475731
103:05:00	2.78091836	3.399555922	0.872785211	4.052249908	22.86309814	24.21552658	23.47040367	24.06641006	21.87590027
103:10:00	2.78091836	3.399555922	0.856748581	4.050148487	22.83332634	24.04754257	23.43297005	23.926651	21.81287575
103:15:00	2.78091836	3.399555922	0.868092597	4.054331779	22.38572693	23.57199669	22.98214531	23.49461746	21.35877037
103:20:00	2.78091836	3.399555922	0.903914988	4.060135841	22.39440346	23.63376808	23.00145912	23.54733086	21.36078835
103:25:00	2.78091836	3.399555922	0.936257362	4.062779903	22.4589653	23.7235775	23.06609154	23.61768532	21.45192528
103:30:00	2.78091836	3.399555922	0.979465246	4.061751842	22.55761528	23.8380146	23.17767906	23.73674393	21.57150841
103:35:00	2.78091836	3.399555922	1.002996683	4.064630032	22.89999962	24.00615311	23.51518059	23.92949486	21.89691353
103:40:00	2.78091836	3.399555922	1.031413436	4.064780712	23.11846161	24.26955605	23.74302673	24.18868065	22.11956406
103:45:00	2.78091836	3.399555922	1.045734763	4.060795307	23.5014286	24.84266281	24.12471581	24.73890686	22.51557922
103:50:00	2.78091836	3.399555922	1.045753241	4.056828976	22.81875038	23.93278313	23.40444565	23.83331108	21.77844048
103:55:00	2.761197329	3.399555922	1.06429565	4.056866646	22.58483315	23.79526329	23.21291351	23.69512558	21.6066227
